combo,method,direction,width,stride,setting,attack,attack_accuracy,path
cifar10_resnet18,rsw,l2h,500,100,500-100,SAMIA,73.636,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,rsw,l2h,500,100,500-100,NN,73.171,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,rsw,l2h,500,100,500-100,Top3-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,rsw,l2h,500,100,500-100,Cl-NN,73.66829268292683,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,Conf,63.248,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,Entr,60.82,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,Mentr,63.308,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,Hconf,62.908,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,SAMIA,76.195,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,NN,73.532,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,Top3-NN,73.18048780487806,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,50,1500-50,Cl-NN,76.15934959349593,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,Conf,61.867,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,Entr,59.812,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,Mentr,61.958,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,Hconf,62.216,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,SAMIA,75.633,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,NN,73.675,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,Top3-NN,73.47642276422764,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1500,100,1500-100,Cl-NN,75.71707317073171,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,Conf,65.492,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,Entr,63.345,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,Mentr,65.472,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,Hconf,65.241,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,SAMIA,77.327,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,NN,74.758,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,Top3-NN,74.6959349593496,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,50,1000-50,Cl-NN,77.62926829268292,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,Conf,62.097,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,Entr,60.756,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,Mentr,62.163,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,Hconf,62.168,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,SAMIA,74.41,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,NN,73.002,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,Top3-NN,72.96910569105691,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,1000,100,1000-100,Cl-NN,74.15284552845529,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,Conf,60.276,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,Entr,58.174,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,Mentr,60.269,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,Hconf,60.134,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,SAMIA,73.675,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,NN,73.171,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,Top3-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,50,500-50,Cl-NN,73.21626016260163,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,h2l,500,100,500-100,Conf,62.797,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,h2l,500,100,500-100,Entr,60.727,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,h2l,500,100,500-100,Mentr,62.829,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,h2l,500,100,500-100,Hconf,63.019,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,h2l,500,100,500-100,SAMIA,75.98,log/wemem_fig6_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
