,0
144,0.6816847789507581
145,0.6591092025487744
146,0.3356413699717532
147,0.4865466033667856
148,0.5400295597516817
149,0.6138172968325347
150,0.6295660590547555
151,0.6708466281815659
152,0.3423511906550223
153,0.3366102116230399
154,0.6175456014482745
155,0.5774456237053439
156,0.22858915362756838
157,0.640919197563858
158,0.477251273031505
159,0.6019691843841276
160,0.5588315042160706
161,0.6381291796664204
162,0.6768063998102694
163,0.6635236922556311
164,0.44617123824092775
165,0.4910789681262804
166,0.6824056269572664
167,0.6335868177247742
168,0.4329207661938382
169,0.5307901250282085
170,0.8357049389294007
171,0.6321271268903852
172,0.524911264331752
173,0.6562976076927358
174,0.6465191776678999
175,0.5624095923038359
176,0.4377447308752921
177,0.6278286798986901
178,0.5527906033295276
179,0.6399723625998394
180,0.6834203547906759
181,0.5887115981177165
182,0.47969890101904233
183,0.6606436957250696
184,0.5761882333653849
185,0.5612740446847908
186,0.7453637724309232
187,0.5779951513528115
188,0.587077305916626
189,0.45262596517138515
190,0.5225073206328572
191,0.36012735415348246
192,0.677098033812321
193,0.2759072321392109
194,0.7433257231226398
195,0.7806318267257846
196,0.3562434377051149
197,0.552017236569133
198,0.5325019829874607
199,0.5445005952546117
200,0.6721780560582293
201,0.5339075796624347
202,0.3608899729046864
203,0.5673687612324924
204,0.6656024839151922
205,0.48028686781590724
206,0.6767172417618741
207,0.6018590854501088
208,0.5343755403358738
209,0.6438519942753198
210,0.7491334052826568
211,0.5780074052760922
212,0.7288452785694306
213,0.40014241389078337
214,0.6084296033556691
215,0.6088086020743705
216,0.49875761129078416
217,0.5043594796449544
218,0.527286685123181
219,0.5747135579402992
220,0.5442824528421566
221,0.37947550452131756
222,0.5464965310203936
223,0.5978197733647007
224,0.6678655296950146
225,0.8296113512847652
226,0.5790459982268171
227,0.5469426916171256
228,0.6684537120551212
229,0.4933229846008272
230,0.3170405236135286
231,0.6621881344308762
232,0.6245642186552072
233,0.47567943952254665
234,0.5189694385342879
235,0.5962406807960274
236,0.6796240236476822
237,0.6400937473695094
238,0.20850112019027744
239,0.5229728163571017
240,0.7337430345722326
241,0.5870719438933132
242,0.6603223666217828
243,0.47264323555648996
244,0.6109899548437283
245,0.6012619937084613
246,0.31375013327712453
247,0.34544927554914207
248,0.7450217712470788
249,0.6844273158242413
250,0.5191652840461867
251,0.6802016583189859
252,0.7272569277725268
253,0.5228494059519302
254,0.5595285443491689
255,0.543340445003748
256,0.5188069766030559
257,0.6767648674265336
258,0.576387344176152
259,0.7126309653093775
260,0.5654554739511763
261,0.357110874040994
262,0.4912159551883249
263,0.43233906587399246
264,0.5133967129192667
265,0.5589895825953973
266,0.3809982073168413
267,0.6341513235729213
268,0.6813231037022306
269,0.5272471799058884
270,0.5849620765143533
271,0.48964044315937605
272,0.7305696606964472
273,0.5349392719269181
274,0.5205614155079541
275,0.5071338995100291
276,0.42820952354852715
277,0.6298444880859437
278,0.4424715928530238
279,0.4159169981731346
280,0.7027697986045238
281,0.40556741934460994
282,0.3720896157419083
283,0.49690707291488845
284,0.775640389008239
285,0.30205299350874565
286,0.6232547049436857
287,0.5602383102018291
288,0.7084916512495606
289,0.8144880138748918
290,0.5749351978222532
291,0.7190967673546796
292,0.5297205532733479
293,0.6848487129737181
294,0.6113315875365719
295,0.47202123126718226
296,0.47912497096029993
297,0.6607494555710539
298,0.6756972403003919
299,0.7347650252594298
300,0.4623176405931033
301,0.5781489995406494
302,0.6698081672911996
303,0.6476667891072092
304,0.4864706494905017
305,0.3976266001580597
306,0.3936045570945527
307,0.773579276929194
308,0.5385275244022889
309,0.5823587131538527
310,0.5573964575486131
311,0.34761131662105105
312,0.6478141221398526
313,0.609858370100446
314,0.6313902359465557
315,0.6105223397637278
316,0.5545362346605052
317,0.6398725515937617
318,0.7232077947296647
319,0.5621119719205258
320,0.5484325731535098
321,0.7618515311076919
322,0.5250931391357075
